replicate,C0-R@42,C0-R@1337,C0-R@20260703,C1-M@42,C1-M@1337,C1-M@20260703,C4-M@42,C4-M@1337,C4-M@20260703,C4MixFT-M@42,C4MixFT-M@1337,C4Mix-M@42,C4Mix-M@1337,C4R-M@42,C4R-M@1337
503,0.407735,0.413081,0.405378,0.424806,0.412760,0.413488,0.412847,0.383971,0.410117,0.407595,0.416891,0.387187,0.413376,0.423728,0.395426
504,0.400711,0.392020,0.394097,0.412626,0.395747,0.396130,0.394520,0.369813,0.403239,0.400956,0.395519,0.387715,0.395794,0.394119,0.372861
505,0.386173,0.391276,0.383104,0.388172,0.394883,0.377648,0.374416,0.373798,0.382113,0.393668,0.387183,0.359784,0.378899,0.389818,0.364350
506,0.417800,0.414252,0.405356,0.422598,0.418411,0.404584,0.414322,0.390536,0.411454,0.404027,0.414974,0.398215,0.424059,0.427596,0.387425
507,0.413523,0.415248,0.425620,0.424005,0.424984,0.424537,0.421036,0.400764,0.426901,0.423242,0.423154,0.401547,0.423261,0.426995,0.411659
508,0.410498,0.404581,0.433271,0.425437,0.431617,0.416095,0.427620,0.398498,0.415100,0.426273,0.424019,0.397779,0.414127,0.432261,0.391847
509,0.388559,0.382687,0.401026,0.384695,0.405968,0.370237,0.381523,0.366733,0.379264,0.392643,0.398095,0.379097,0.395955,0.403021,0.370041
510,0.389708,0.394909,0.390261,0.390836,0.394088,0.383083,0.389551,0.373731,0.388516,0.385390,0.394023,0.377036,0.393308,0.393657,0.374521
511,0.391785,0.382446,0.395726,0.396804,0.397811,0.371748,0.395024,0.372732,0.379063,0.382480,0.398275,0.379601,0.393060,0.395325,0.385808
512,0.413190,0.414222,0.407935,0.416021,0.413452,0.410782,0.420850,0.382984,0.408342,0.416859,0.415136,0.404220,0.419621,0.426329,0.404309
513,0.420143,0.408292,0.421018,0.413691,0.413793,0.400749,0.403960,0.388079,0.398983,0.404399,0.409052,0.394943,0.408317,0.422562,0.390790
514,0.407831,0.393166,0.402614,0.413777,0.411813,0.388755,0.403882,0.379220,0.400653,0.393821,0.393538,0.383118,0.401687,0.408092,0.377286
515,0.394848,0.397061,0.409608,0.410043,0.414846,0.378782,0.398007,0.384854,0.389844,0.391227,0.401735,0.385469,0.402053,0.404739,0.369335
516,0.399899,0.409182,0.408845,0.413492,0.415937,0.391037,0.407769,0.388335,0.389819,0.397676,0.400168,0.394333,0.405055,0.403939,0.377162
517,0.388913,0.398634,0.384255,0.395675,0.393609,0.378925,0.392608,0.363020,0.390930,0.390595,0.388835,0.372166,0.373873,0.387060,0.369788
